REGISTRATION_STATUS_ID,REGISTRATION_ID,STATUS,DATE_CREATED
621946,74523,Documents Received ,4/19/2024
621951,74523,TTG sent to county,4/19/2024
697501,84752,On Hold- QA,7/24/2024
697570,84752,Send Docs to TTG,7/24/2024
707578,86098,On Hold- QA,8/6/2024
729677,86098,On Hold- QA,9/4/2024
710189,86345,Send Docs to TTG,8/9/2024
716846,86345,Documents Received ,8/19/2024
713662,86783,On Hold- QA,8/14/2024
714283,86783,Send Docs to TTG,8/14/2024
731128,89168,Send Docs to TTG,9/6/2024
731165,89175,On Hold- QA,9/6/2024
731235,89175,On Hold- QA,9/6/2024
788224,89175,On Hold- QA,11/20/2024
745641,90895,Send Docs to TTG,9/26/2024
751383,91610,On Hold- QA,10/3/2024
757193,91610,On Hold- QA,10/10/2024
760790,91610,Send Docs to TTG,10/15/2024
762708,92794,Send Docs to TTG,10/17/2024
769837,92794,Documents Received ,10/25/2024
771241,93815,On Hold- QA,10/29/2024
772885,93815,Send Docs to TTG,10/30/2024
777239,93815,Documents Received ,11/5/2024
793064,93815,TTG sent to county,11/26/2024
803603,93815,TTG sent to county,12/11/2024
807739,93815,Post Audit,12/18/2024
778427,94634,Send Docs to TTG,11/6/2024
778851,94693,On Hold- QA,11/7/2024
779598,94693,Send Docs to TTG,11/7/2024
781437,95087,On Hold- QA,11/12/2024
782088,95087,Send Docs to TTG,11/13/2024
791345,96592,On Hold- QA,11/25/2024
798650,97610,On Hold- QA,12/4/2024
826607,97610,Documents Received ,1/17/2025
801051,97909,On Hold- QA,12/9/2024
803901,97909,Send Docs to TTG,12/12/2024
806618,97909,Documents Received ,12/17/2024
806781,97909,TTG sent to county,12/17/2024
817824,97909,Post Audit,1/6/2025
819621,97909,WS correction requested ,1/7/2025
819699,97909,WS Correction Complete,1/7/2025
802607,98163,On Hold- QA,12/11/2024
846366,98163,Send Docs to TTG,2/19/2025
870864,98163,Send Docs to TTG,3/30/2025
806121,98649,On Hold- QA,12/16/2024
806866,98769,Send Docs to TTG,12/17/2024
807858,98769,Documents Received ,12/18/2024
819617,98769,TTG sent to county,1/7/2025
807431,98838,On Hold- QA,12/18/2024
815702,98838,Send Docs to TTG,1/2/2025
820466,98838,Documents Received ,1/8/2025
820575,98838,TTG sent to county,1/8/2025
828954,98838,TTG sent to county,1/22/2025
838369,98838,TTG sent to county,2/5/2025
848522,98838,Post Audit,2/22/2025
808456,98914,On Hold- QA,12/19/2024
826644,98914,On Hold- QA,1/17/2025
829307,98914,On Hold- QA,1/23/2025
831837,98914,Send Docs to TTG,1/27/2025
834448,98914,Documents Received ,1/30/2025
834705,98914,TTG sent to county,1/30/2025
